1 1:16.000000 2:254.000000 3:148.356588 4:0.174821 5:7.616656 6:5.179577 7:5.468344 8:4.982529 9:5.196477 10:3.930558 11:3.434626 12:2.512165 13:6.794624 14:1.433919 15:1.559320 16:0.838007 17:1.445395 18:0.858190 19:4.596138 20:5275.335758 21:0.922740
1 1:17.000000 2:121.000000 3:87.455894 4:0.190245 5:6.766877 6:4.392066 7:4.108503 8:4.069966 9:5.611740 10:4.555666 11:5.536338 12:4.411257 13:6.944486 14:1.550939 15:1.527024 16:1.261057 17:1.546882 18:0.333654 19:3.407516 20:24852.635218 21:0.881708
1 1:18.000000 2:207.000000 3:121.851997 4:0.211043 5:7.330500 6:4.768561 7:4.507645 8:4.726489 9:4.098194 10:4.666332 11:4.007694 12:5.163020 13:7.091021 14:1.354593 15:1.569263 16:0.823505 17:1.356127 18:0.961961 19:4.522005 20:43926.579984 21:0.929080
1 1:17.000000 2:243.000000 3:92.616959 4:0.020937 5:7.364859 6:5.045685 7:3.372591 8:5.436456 9:4.558002 10:4.369750 11:4.653362 12:3.147154 13:7.694444 14:1.400902 15:1.567284 16:1.019214 17:1.397390 18:0.724989 19:4.175001 20:2818.897048 21:0.928941
-1 1:18.000000 2:216.000000 3:160.953382 4:0.235099 5:5.939994 6:4.788912 7:5.630534 8:6.945148 9:6.426264 10:4.256362 11:4.222621 12:4.134369 13:6.022926 14:1.560404 15:1.563601 16:1.567599 17:1.559422 18:0.014567 19:4.266836 20:119194.142333 21:0.898917
1 1:18.000000 2:190.000000 3:128.762345 4:0.221264 5:5.188798 6:4.158757 7:5.027290 8:6.337384 9:6.920670 10:4.420779 11:4.750104 12:3.486384 13:5.324767 14:1.559452 15:1.565852 16:1.521203 17:1.564397 18:0.055993 19:3.953709 20:48975.367333 21:0.899259
-1 1:18.000000 2:210.000000 3:118.303408 4:0.153361 5:6.102528 6:3.520689 7:4.389136 8:4.414155 9:5.462741 10:5.224517 11:4.494156 12:5.095364 13:6.838448 14:1.460420 15:1.566298 16:0.905886 17:1.464917 18:0.770789 19:4.225703 20:58128.610088 21:0.931493
-1 1:17.000000 2:129.000000 3:113.762633 4:0.198745 5:7.367771 6:3.686995 7:1.879801 8:3.986644 9:7.446480 10:3.831651 11:2.757551 12:3.738558 13:6.906304 14:1.561950 15:1.566956 16:1.202096 17:1.565790 18:0.363694 19:3.418955 20:49972.871293 21:0.863303
1 1:18.000000 2:233.000000 3:104.602941 4:0.188407 5:5.702063 6:3.887671 7:2.220364 8:4.275550 9:8.073510 10:5.431344 11:3.656212 12:4.087373 13:5.379592 14:1.564153 15:1.565415 16:1.181760 17:1.569534 18:0.387774 19:4.736883 20:13054.350984 21:0.942125
1 1:17.000000 2:209.000000 3:78.997036 4:0.194728 5:6.645668 6:2.341699 7:3.852225 8:3.779063 9:7.343181 10:4.067187 11:3.998234 12:3.396927 13:5.860161 14:1.256642 15:1.373076 16:0.760773 17:1.454363 18:0.693590 19:2.892621 20:46856.646255 21:0.736127
1 1:18.000000 2:218.000000 3:108.452158 4:0.199458 5:6.188265 6:3.075084 7:3.394349 8:3.234886 9:7.606567 10:6.534513 11:5.190563 12:4.720086 13:5.626797 14:1.543128 15:1.566699 16:1.529895 17:1.547225 18:0.064471 19:4.888942 20:12055.303997 21:0.949004
1 1:17.000000 2:240.000000 3:123.302128 4:0.108062 5:4.912584 6:2.533577 7:3.682852 8:4.452728 9:6.138982 10:6.541960 11:5.495315 12:6.835809 13:6.291677 14:1.414370 15:1.544058 16:1.250069 17:1.387631 18:0.503893 19:4.182195 20:2279.449009 21:0.923522
-1 1:16.000000 2:217.000000 3:133.768316 4:0.192962 5:6.807625 6:5.788864 7:5.680993 8:4.563730 9:6.197167 10:4.173153 11:3.692318 12:3.562726 13:6.991710 14:1.521961 15:1.569715 16:0.956819 17:1.520880 18:0.663894 19:4.391714 20:86912.792707 21:0.932977
1 1:14.000000 2:219.000000 3:138.187805 4:0.156107 5:6.658166 6:3.842008 7:3.735114 8:5.089906 9:7.010306 10:3.940711 11:3.831121 12:3.698385 13:6.704431 14:1.569782 15:1.569671 16:1.441935 17:1.570685 18:0.128749 19:4.640282 20:116411.983305 21:0.940788
1 1:15.000000 2:189.000000 3:132.808413 4:0.175528 5:6.616248 6:5.025948 7:4.677711 8:3.021948 9:5.688181 10:4.594261 11:5.526288 12:5.897558 13:5.413157 14:1.532883 15:1.547957 16:0.711204 17:1.510044 18:0.920345 19:4.271610 20:75221.178707 21:0.927404
-1 1:16.000000 2:133.000000 3:71.614433 4:0.055196 5:7.188585 6:5.632154 7:5.290426 8:4.528289 9:7.171371 10:3.461654 11:3.592582 12:3.495138 13:6.066635 14:1.348786 15:1.521048 16:1.093400 17:1.299038 18:0.749155 19:3.683349 20:16395.195146 21:0.883760
1 1:14.000000 2:175.000000 3:96.048701 4:0.194785 5:6.646225 6:5.189038 7:5.344074 8:5.455595 9:4.968143 10:3.624094 11:4.402646 12:5.005934 13:6.321246 14:1.531060 15:1.561790 16:1.125956 17:1.522053 18:0.493584 19:4.000833 20:38042.124669 21:0.905000
1 1:18.000000 2:155.000000 3:78.502375 4:0.206893 5:8.019226 6:4.406029 7:3.076343 8:3.551692 9:6.797089 10:4.058582 11:3.152831 12:3.150750 13:8.538340 14:1.521588 15:1.565751 16:1.258961 17:1.516543 18:0.366088 19:3.593979 20:24638.501232 21:0.896558
1 1:17.000000 2:232.000000 3:81.069585 4:0.189634 5:6.762061 6:4.797013 7:3.986708 8:4.754728 9:6.367704 10:4.698366 11:2.591476 12:4.760181 13:6.458756 14:1.563271 15:1.563504 16:1.395171 17:1.570563 18:0.175391 19:3.818773 20:3428.360950 21:0.902309
